timestamp,symbol,ema_cross_diff_pct,atr_pct,rsi_normalized,price_to_fast_pct,price_to_slow_pct,trend_direction,trend_strength,decision_buy_possible,decision_sell_possible,decision_hold_possible,strategy_signal,executed_action,was_executed,regime,volatility_level,decision_outcome,reject_reason,reason
2026-01-21T10:37:11.985227,BTC/USDT,0.0140295848888151,0.6926587034979801,0.0,0.0216532687973552,0.0356858915498974,1.0,0.0001402958488881,False,True,True,SELL,SELL,True,high_volatility,high,executed,,LEARNING SELL | RSI: 84.6 (0.693 norm) | EMA diff: 0.0140% | ATR: 0.0000% | Outcome: EXECUTED
2026-01-21T10:37:16.987252,BTC/USDT,0.0138313706461646,0.6165085875125049,0.0,0.0079004254320939,0.0217328888153827,1.0,0.0001383137064616,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:21.382576,BTC/USDT,0.0107493309912424,0.3218740173793034,0.0,-0.0133795148232795,-0.0026316220403705,1.0,0.0001074933099124,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:26.309011,BTC/USDT,0.0083111702519315,0.3218740173793034,0.0,-0.0107129065705034,-0.0024026266864759,1.0,8.311170251931563e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:30.450193,BTC/USDT,0.0065649644846269,0.3320256039453159,0.0,-0.0072642906687871,-0.0006998030822626,1.0,6.564964484626992e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:35.263885,BTC/USDT,0.0051744043054214,0.3014570965803855,0.0,-0.0058205254385991,-0.0006464223106965,1.0,5.174404305421413e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:39.581839,BTC/USDT,0.0040702354705421,0.301532484331741,0.0,-0.0046474660080269,-0.0005774197002946,1.0,4.07023547054219e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:43.851218,BTC/USDT,0.0047410159800796,0.385273159126356,0.0,0.0076325212890596,0.0123738991281932,1.0,4.741015980079603e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:47.800933,BTC/USDT,0.005142634839486,0.385273159126356,0.0,0.0061059238240441,0.0112488726688961,1.0,5.142634839486092e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
2026-01-21T10:37:53.086453,BTC/USDT,0.0068557738970815,0.3706225680746237,0.0,0.0159911299922573,0.0228480002050547,1.0,6.855773897081545e-05,False,True,True,SELL,HOLD,False,high_volatility,high,rejected_by_execution,Execution error: Risk validation failed,HOLD: Signal SELL rejected by Execution Error - Execution error: Risk validation failed
