2025-11-20 12:54:16 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90336.32 | RSI: 23.2 | EMA9: 91656.48 | EMA21: 91574.02 | Sin señal (condiciones no cumplidas)
2025-11-20 12:54:17 | INFO | INFO | 💓 Bot activo | Iteración #2321 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:54:35 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90279.53 | RSI: 22.8 | EMA9: 91650.17 | EMA21: 91571.32 | Sin señal (condiciones no cumplidas)
2025-11-20 12:54:49 | INFO | INFO | 💓 Bot activo | Iteración #2338 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:54:53 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90344.50 | RSI: 23.2 | EMA9: 91657.39 | EMA21: 91574.41 | Sin señal (condiciones no cumplidas)
2025-11-20 12:55:12 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90230.33 | RSI: 22.8 | EMA9: 91648.61 | EMA21: 91570.65 | Sin señal (condiciones no cumplidas)
2025-11-20 12:55:21 | INFO | INFO | 💓 Bot activo | Iteración #2355 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:55:31 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90242.40 | RSI: 22.6 | EMA9: 91644.70 | EMA21: 91568.97 | Sin señal (condiciones no cumplidas)
2025-11-20 12:55:51 | INFO | INFO | 💓 Bot activo | Iteración #2370 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:55:52 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90242.39 | RSI: 22.6 | EMA9: 91646.04 | EMA21: 91569.55 | Sin señal (condiciones no cumplidas)
2025-11-20 12:56:13 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90199.77 | RSI: 22.4 | EMA9: 91641.31 | EMA21: 91567.52 | Sin señal (condiciones no cumplidas)
2025-11-20 12:56:21 | INFO | INFO | 💓 Bot activo | Iteración #2385 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:56:31 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90175.09 | RSI: 22.3 | EMA9: 91638.57 | EMA21: 91566.34 | Sin señal (condiciones no cumplidas)
2025-11-20 12:56:49 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90159.08 | RSI: 22.2 | EMA9: 91636.79 | EMA21: 91565.58 | Sin señal (condiciones no cumplidas)
2025-11-20 12:56:52 | INFO | INFO | 💓 Bot activo | Iteración #2402 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:57:08 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90219.26 | RSI: 22.5 | EMA9: 91643.47 | EMA21: 91568.45 | Sin señal (condiciones no cumplidas)
2025-11-20 12:57:23 | INFO | INFO | 💓 Bot activo | Iteración #2418 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:57:27 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90234.91 | RSI: 22.6 | EMA9: 91645.21 | EMA21: 91569.19 | Sin señal (condiciones no cumplidas)
2025-11-20 12:57:47 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90216.13 | RSI: 22.5 | EMA9: 91643.13 | EMA21: 91568.30 | Sin señal (condiciones no cumplidas)
2025-11-20 12:57:53 | INFO | INFO | 💓 Bot activo | Iteración #2434 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:58:05 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90217.51 | RSI: 22.5 | EMA9: 91643.28 | EMA21: 91568.36 | Sin señal (condiciones no cumplidas)
2025-11-20 12:58:23 | INFO | INFO | 💓 Bot activo | Iteración #2450 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:58:25 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90160.01 | RSI: 22.2 | EMA9: 91636.89 | EMA21: 91565.63 | Sin señal (condiciones no cumplidas)
2025-11-20 12:58:45 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90130.88 | RSI: 22.1 | EMA9: 91633.65 | EMA21: 91564.24 | Sin señal (condiciones no cumplidas)
2025-11-20 12:58:54 | INFO | INFO | 💓 Bot activo | Iteración #2465 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:59:07 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90105.00 | RSI: 21.9 | EMA9: 91630.78 | EMA21: 91563.01 | Sin señal (condiciones no cumplidas)
2025-11-20 12:59:26 | INFO | INFO | 💓 Bot activo | Iteración #2480 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 12:59:27 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90181.31 | RSI: 22.3 | EMA9: 91639.26 | EMA21: 91566.64 | Sin señal (condiciones no cumplidas)
2025-11-20 12:59:48 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90168.47 | RSI: 22.2 | EMA9: 91636.75 | EMA21: 91565.57 | Sin señal (condiciones no cumplidas)
2025-11-20 12:59:56 | INFO | INFO | 💓 Bot activo | Iteración #2494 | PnL: 0.00 | Trades: 0 | Posiciones: 0
2025-11-20 13:00:08 | INFO | INFO | 🔍 Analizando BTC/USDT @ 90105.01 | RSI: 21.9 | EMA9: 91630.78 | EMA21: 91563.01 | Sin señal (condiciones no cumplidas)
